Reference, Value, Footprint, Datasheet
"U1","PIC12C508A-ISN","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/40139e.pdf"
"D1","LED","LED_THT:LED_D5.0mm","~"
"J1","MYCONN3","Connector:Banana_Jack_3Pin",""
"R1","1 k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","100R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
